iter	Logloss
0	0.6783646107
1	0.6664815098
2	0.6570674697
3	0.6448128019
4	0.6362285371
5	0.629214664
6	0.6190288603
7	0.6101278719
8	0.6006169558
9	0.5937820152
10	0.5884655638
11	0.5800084432
12	0.5753455096
13	0.5695816237
14	0.5640221208
15	0.5608196321
16	0.5541785086
17	0.5504359254
18	0.5448673822
19	0.5430041547
20	0.5398503164
21	0.5347293595
22	0.5321829807
23	0.5270911628
24	0.5229052845
25	0.5213577113
26	0.5172652696
27	0.5120274088
28	0.5093040815
29	0.5076843123
30	0.5061209365
31	0.5044970994
32	0.5035736528
33	0.4989669405
34	0.4971055688
35	0.4962895469
36	0.4950838049
37	0.4925552114
38	0.4915736693
39	0.4911306365
40	0.486901008
41	0.4833846238
42	0.4826510301
43	0.4797701622
44	0.4777849063
45	0.4770630691
46	0.4764071268
47	0.4757435677
48	0.475366774
49	0.4748985759
50	0.4726891223
51	0.4710421654
52	0.4676772569
53	0.4672855158
54	0.4667772321
55	0.4661486422
56	0.4657845466
57	0.4653056251
58	0.4650536926
59	0.4644106261
60	0.4630213656
61	0.4626117742
62	0.4622147004
63	0.4585026414
64	0.4568244666
65	0.4564370922
66	0.4559019187
67	0.4555448013
68	0.4545527456
69	0.4544275024
70	0.4530120639
71	0.4528869035
72	0.452455916
73	0.4510762899
74	0.4497036591
75	0.4479066266
76	0.4452360403
77	0.4440775094
78	0.4437965454
79	0.442927765
80	0.4417546032
81	0.4398672761
82	0.4397708931
83	0.439246751
84	0.4384778039
85	0.4384202304
86	0.437105829
87	0.4363185953
88	0.4350679965
89	0.4346306436
90	0.4340106238
91	0.4340085583
92	0.4339384589
93	0.4333272462
94	0.432292901
95	0.4302257928
96	0.4289769084
97	0.4284927913
98	0.4265529802
99	0.4264553176
100	0.4245895441
101	0.4245813497
102	0.4239464124
103	0.422597824
104	0.4197591411
105	0.4182349201
106	0.4176835213
107	0.4175731991
108	0.4175328232
109	0.4167091893
110	0.4149874011
111	0.4149434049
112	0.414890859
113	0.4144445506
114	0.4141702339
115	0.4127596804
116	0.4114229258
117	0.4099953185
118	0.4083299402
119	0.4072742202
120	0.4067197395
121	0.4055921936
122	0.4051192387
123	0.4036728951
124	0.4027773775
125	0.4006637318
126	0.40025297
127	0.4001115919
128	0.3998191073
129	0.3988195013
130	0.3977160756
131	0.3973447669
132	0.3965221693
133	0.3964762673
134	0.3964761946
135	0.3962121591
136	0.3961762139
137	0.3961629112
138	0.3946556622
139	0.3946197822
140	0.3927473952
141	0.3921608953
142	0.3921156185
143	0.3915470819
144	0.3910387313
145	0.389915843
146	0.3894620455
147	0.3887803087
148	0.3882678652
149	0.3882658885
150	0.3882656895
151	0.3882035378
152	0.3882035353
153	0.3882034709
154	0.3881343409
155	0.3881211693
156	0.3878486667
157	0.3877092855
158	0.387646458
159	0.3866948611
160	0.3866948588
161	0.3866128058
162	0.3866127972
163	0.3865511172
164	0.3858720319
165	0.3858579431
166	0.3840669297
167	0.3827020707
168	0.3818303521
169	0.3808376841
170	0.3795478425
171	0.3795145507
172	0.3792689356
173	0.3790414808
174	0.3790414183
175	0.3779532493
176	0.3779531821
177	0.3777831891
178	0.3777831709
179	0.3777319539
180	0.377240863
181	0.3772408199
182	0.3772408189
183	0.3749733832
184	0.3741247963
185	0.3740534459
186	0.3721273111
187	0.3713308772
188	0.3711391908
189	0.3707139735
190	0.3703727588
191	0.3703654638
192	0.3701966293
193	0.3701336797
194	0.3701333591
195	0.3699937599
196	0.3693006416
197	0.3692478389
198	0.3692478373
199	0.3690634648
200	0.3690141251
201	0.3684714452
