iter	Passed	Remaining
0	10	53524
1	14	35902
2	15	25644
3	16	20546
4	28	28899
5	37	31169
6	47	33629
7	48	29985
8	49	27579
9	58	29330
10	60	27414
11	68	28653
12	70	27079
13	71	25525
14	80	26616
15	88	27501
16	90	26518
17	100	27766
18	103	27141
19	108	26997
20	117	27812
21	119	26948
22	128	27744
23	129	26767
24	130	26024
25	139	26699
26	140	25951
27	142	25272
28	152	26100
29	154	25668
30	164	26335
31	165	25724
32	175	26446
33	177	25877
34	187	26563
35	196	27104
36	205	27528
37	206	26935
38	214	27301
39	222	27641
40	231	28003
41	240	28421
42	249	28743
43	258	29110
44	260	28722
45	262	28255
46	263	27786
47	272	28161
48	273	27669
49	282	27993
50	284	27562
51	293	27921
52	296	27683
53	305	27940
54	313	28215
55	322	28465
56	331	28718
57	339	28924
58	349	29237
59	360	29692
60	375	30426
61	385	30676
62	396	31085
63	399	30837
64	411	31271
65	414	30957
66	423	31152
67	425	30839
68	426	30474
69	434	30603
70	435	30226
71	438	30036
72	447	30183
73	456	30396
74	459	30202
75	468	30329
76	470	30083
77	471	29747
78	472	29413
79	480	29566
80	481	29259
81	490	29434
82	492	29153
83	501	29340
84	502	29042
85	510	29166
86	520	29371
87	521	29089
88	522	28817
89	530	28940
90	538	29075
91	549	29299
92	562	29664
93	576	30100
94	587	30329
95	593	30336
96	595	30092
97	596	29840
98	605	29956
99	613	30085
100	615	29843
101	617	29662
102	625	29757
103	634	29862
104	639	29796
105	642	29657
106	650	29743
107	659	29861
108	668	29990
109	670	29823
110	672	29611
111	680	29719
112	689	29837
113	691	29620
114	692	29417
115	693	29215
116	703	29343
117	712	29479
118	714	29288
119	724	29458
120	732	29549
121	741	29663
122	743	29483
123	745	29296
124	747	29133
125	756	29260
126	767	29442
127	769	29282
128	779	29419
129	780	29237
130	789	29336
131	799	29475
132	800	29293
133	809	29380
134	819	29523
135	820	29336
136	821	29175
137	830	29275
138	840	29382
139	849	29491
140	850	29309
141	851	29147
142	852	28967
143	861	29046
144	863	28926
145	872	29007
146	881	29109
147	890	29183
148	891	29020
149	892	28854
150	901	28950
151	910	29033
152	911	28861
153	920	28955
154	928	29024
155	930	28897
156	931	28731
157	940	28825
158	949	28923
159	962	29127
160	987	29677
161	990	29585
162	1003	29787
163	1004	29632
164	1007	29528
165	1016	29609
166	1025	29689
167	1036	29819
168	1045	29892
169	1054	29962
170	1063	30020
171	1065	29903
172	1066	29743
173	1067	29600
174	1075	29666
175	1084	29734
176	1086	29608
177	1089	29517
178	1090	29381
179	1091	29239
180	1100	29294
181	1108	29347
182	1109	29202
183	1118	29273
184	1120	29154
185	1129	29222
186	1138	29305
187	1139	29170
188	1148	29239
189	1151	29151
190	1160	29228
191	1169	29289
192	1179	29368
193	1181	29257
194	1191	29371
195	1193	29260
196	1195	29136
197	1203	29186
198	1205	29080
199	1213	29131
200	1222	29184
201	1230	29235
202	1239	29293
203	1241	29180
204	1242	29063
205	1243	28939
206	1245	28839
207	1246	28720
208	1248	28618
209	1256	28660
210	1257	28547
211	1258	28424
212	1267	28476
213	1276	28541
214	1277	28434
215	1285	28480
216	1287	28382
217	1289	28280
218	1297	28323
219	1298	28214
220	1306	28262
221	1309	28174
222	1310	28062
223	1313	27995
224	1314	27886
225	1316	27817
226	1325	27870
227	1330	27841
228	1331	27749
229	1332	27640
230	1341	27702
231	1343	27605
232	1352	27672
233	1360	27717
234	1361	27614
235	1362	27513
236	1373	27602
237	1392	27864
238	1398	27859
239	1402	27816
240	1421	28067
241	1437	28256
242	1439	28186
243	1442	28123
244	1445	28053
245	1461	28242
246	1473	28352
247	1483	28432
248	1492	28485
249	1501	28531
250	1510	28571
251	1511	28481
252	1512	28386
253	1521	28424
254	1522	28339
255	1531	28388
256	1540	28424
257	1548	28468
258	1557	28517
259	1566	28562
260	1582	28726
261	1588	28728
262	1596	28756
263	1609	28878
264	1624	29021
265	1635	29109
266	1637	29020
267	1638	28930
268	1639	28835
269	1649	28889
270	1650	28801
271	1658	28835
272	1660	28745
273	1669	28789
274	1678	28838
275	1686	28870
276	1696	28921
277	1698	28852
278	1700	28769
279	1708	28803
280	1717	28842
281	1727	28894
282	1737	28954
283	1746	28997
284	1755	29050
285	1758	28981
286	1767	29022
287	1768	28934
288	1777	28976
289	1787	29024
290	1789	28955
291	1793	28916
292	1803	28975
293	1813	29031
294	1824	29092
295	1834	29146
296	1842	29181
297	1851	29207
298	1852	29128
299	1860	29153
300	1869	29184
301	1871	29112
302	1880	29148
303	1889	29182
304	1890	29095
305	1899	29133
306	1908	29173
307	1916	29198
308	1925	29231
309	1934	29272
310	1943	29302
311	1952	29331
312	1962	29387
313	1971	29422
314	1984	29521
315	1994	29564
316	2004	29609
317	2012	29629
318	2021	29661
319	2030	29702
320	2039	29733
321	2049	29772
322	2058	29811
323	2060	29732
324	2068	29755
325	2077	29790
326	2086	29815
327	2095	29842
328	2103	29866
329	2113	29906
330	2121	29929
331	2131	29964
332	2140	29993
333	2148	30020
334	2157	30046
335	2166	30078
336	2175	30108
337	2185	30148
338	2198	30230
339	2204	30211
340	2213	30240
341	2217	30195
342	2226	30228
343	2235	30256
344	2236	30175
345	2244	30193
346	2253	30222
347	2262	30244
348	2271	30272
349	2279	30289
350	2288	30305
351	2296	30329
352	2298	30256
353	2306	30273
354	2316	30305
355	2325	30335
356	2333	30350
357	2342	30369
358	2350	30385
359	2358	30401
360	2367	30423
361	2376	30453
362	2386	30488
363	2398	30546
364	2408	30582
365	2417	30609
366	2427	30641
367	2435	30655
368	2444	30672
369	2452	30686
370	2461	30711
371	2469	30723
372	2477	30737
373	2486	30755
374	2495	30772
375	2503	30791
376	2505	30729
377	2515	30753
378	2524	30776
379	2533	30806
380	2542	30824
381	2551	30842
382	2561	30875
383	2571	30913
384	2582	30952
385	2620	31326
386	2659	31706
387	2674	31791
388	2694	31942
389	2709	32027
390	2726	32143
391	2738	32191
392	2752	32266
393	2765	32330
394	2779	32408
395	2785	32385
396	2799	32454
397	2816	32568
398	2827	32603
399	2836	32621
400	2846	32647
401	2854	32652
402	2864	32672
403	2873	32684
404	2881	32696
405	2890	32707
406	2900	32728
407	2909	32747
408	2918	32762
409	2929	32793
410	2938	32805
411	2947	32819
412	2955	32821
413	2958	32769
414	2967	32782
415	2976	32793
416	2985	32808
417	2994	32822
418	3003	32840
419	3017	32902
420	3028	32938
421	3037	32950
422	3046	32961
423	3055	32979
424	3064	32991
425	3067	32939
426	3076	32951
427	3085	32955
428	3093	32965
429	3103	32980
430	3112	32995
431	3122	33015
432	3130	33023
433	3139	33031
434	3147	33035
435	3156	33043
436	3166	33062
437	3174	33067
438	3183	33077
439	3193	33091
440	3197	33056
441	3206	33069
442	3218	33110
443	3232	33170
444	3245	33220
445	3258	33270
446	3270	33310
447	3279	33318
448	3288	33330
449	3297	33342
