iter	Logloss
0	0.6799884796
1	0.6675405344
2	0.655644234
3	0.645351659
4	0.6344711197
5	0.6245945758
6	0.6150158682
7	0.6060182336
8	0.5982817691
9	0.590616856
10	0.5827728906
11	0.5751425106
12	0.5680847223
13	0.5619017298
14	0.5558744849
15	0.5500743173
16	0.5442668618
17	0.5398430587
18	0.5364848466
19	0.53125061
20	0.5257918437
21	0.5216374537
22	0.5174859719
23	0.5136420321
24	0.5094641946
25	0.5060189346
26	0.5027448908
27	0.5000341535
28	0.4967980591
29	0.4935078123
30	0.4910783033
31	0.4879932916
32	0.4855464537
33	0.4831961857
34	0.4804139917
35	0.4792520991
36	0.4772631741
37	0.4762147681
38	0.4738306463
39	0.4719936387
40	0.4695131033
41	0.4686729928
42	0.4667311698
43	0.4659772015
44	0.4645324235
45	0.4635854338
46	0.4620171564
47	0.4598775328
48	0.4582511842
49	0.4572362212
50	0.4557758656
51	0.4544613888
52	0.453609124
53	0.4528478355
54	0.4517025024
55	0.4505502836
56	0.4493638693
57	0.4480861239
58	0.4468643856
59	0.4458118218
60	0.4447277042
61	0.4437160254
62	0.4430058861
63	0.4423822089
64	0.4414361735
65	0.4409739827
66	0.4403492769
67	0.4397211477
68	0.4385069531
69	0.4376711112
70	0.4367142999
71	0.4360602022
72	0.435583296
73	0.4349653832
74	0.434006278
75	0.4331114288
76	0.4328961159
77	0.4321411999
78	0.4314085059
79	0.4310471699
80	0.430496637
81	0.4298648513
82	0.4289702992
83	0.4286110607
84	0.4279917977
85	0.4274257561
86	0.4266093888
87	0.4261480816
88	0.4257304276
89	0.425148668
90	0.4248222846
91	0.4240045429
92	0.4237284936
93	0.423299508
94	0.4227835359
95	0.4225832616
96	0.422136609
97	0.4215452716
98	0.4214753128
99	0.4211198461
100	0.4208675268
101	0.4203803734
102	0.4197884284
103	0.4197213861
104	0.41919417
105	0.4187347999
106	0.4185924512
107	0.4181192286
108	0.417890048
109	0.417624457
110	0.4172846856
111	0.4172211737
112	0.4166516182
113	0.4159215898
114	0.4156201016
115	0.4153026689
116	0.4151831308
117	0.4149617449
118	0.414520766
119	0.4143483698
120	0.4142501143
121	0.4141312406
122	0.4140830519
123	0.4137268129
124	0.4136894706
125	0.413664964
126	0.413515823
127	0.4132488419
128	0.4132100898
129	0.4129109127
130	0.4128765309
131	0.4126870054
132	0.4126223061
133	0.4125844792
134	0.4125689446
135	0.4122723202
136	0.4122302832
137	0.4120651677
138	0.4119641152
139	0.4118370156
140	0.4118035425
141	0.4117491292
142	0.4115725034
143	0.411349423
144	0.4112998285
145	0.4112744269
146	0.4111932954
147	0.4110372792
148	0.4108021198
149	0.4106515811
150	0.4106039679
151	0.4105546456
152	0.4104435974
153	0.4104140404
154	0.4103835179
155	0.4103347982
156	0.4103133976
157	0.4102869133
158	0.4101762708
159	0.4101457106
160	0.4099946279
161	0.4098204837
162	0.4096083828
163	0.4093838531
164	0.4093419943
165	0.4091970072
166	0.4089689009
167	0.4089344766
168	0.4089187979
169	0.4088966782
170	0.408809788
171	0.4086827486
172	0.4085785188
173	0.4085484289
174	0.4082804573
175	0.4082366548
176	0.4080752203
177	0.4075266252
178	0.4075036415
179	0.4073044468
180	0.407243918
181	0.4071578911
182	0.4070896029
183	0.406918428
184	0.4068890859
185	0.4068792036
186	0.4066738728
187	0.4066579873
188	0.4066438992
189	0.4064735082
190	0.4063422412
191	0.4063263941
192	0.4063103433
193	0.4062896876
194	0.4062448598
195	0.4060829962
196	0.4060132588
197	0.4055365226
198	0.4049691128
199	0.4049553412
200	0.4046667998
201	0.4046271464
202	0.4042041594
203	0.4041857712
204	0.4040718642
205	0.4037290758
206	0.403711971
207	0.403535537
208	0.4031540447
209	0.4031426689
210	0.4031344288
211	0.4029973801
212	0.4027286103
213	0.4024967442
214	0.4024746399
215	0.4024162512
216	0.4021090457
217	0.4020952012
218	0.4019519821
219	0.40192459
220	0.4017224482
221	0.4017128032
222	0.4016710493
223	0.4016588903
224	0.4015668934
225	0.4014937851
226	0.401166913
227	0.4011128258
228	0.4010971348
229	0.4010602729
230	0.4008322154
231	0.4007935656
232	0.4007935655
233	0.4006609705
234	0.4006528892
235	0.4006401048
236	0.4005772252
237	0.4005639985
238	0.4005499604
239	0.4005296058
240	0.4003509574
241	0.4003343309
242	0.4001635315
243	0.4000786283
244	0.3999823563
245	0.3999707577
246	0.3999462287
247	0.3995950117
248	0.399408763
249	0.3993932283
250	0.399039867
251	0.3988711953
252	0.3988612408
253	0.3988217562
254	0.3988100537
255	0.3986745114
256	0.3986621555
257	0.3986400807
258	0.3986305774
259	0.3984990342
260	0.3984776436
261	0.3984628599
262	0.3984445122
263	0.3984248777
264	0.3979084351
265	0.3978914736
266	0.3978914733
267	0.3978914717
268	0.3977737858
269	0.3977645682
