iter	Passed	Remaining
0	7	7608
1	15	7609
2	26	8737
3	34	8707
4	43	8687
5	56	9438
6	69	9884
7	77	9555
8	83	9224
9	90	9000
10	100	9036
11	108	8955
12	115	8776
13	118	8333
14	124	8208
15	130	8004
16	136	7893
17	143	7806
18	149	7730
19	153	7499
20	158	7402
21	161	7190
22	167	7129
23	173	7052
24	179	6994
25	185	6943
26	187	6759
27	193	6733
28	200	6715
29	204	6624
30	212	6642
31	220	6677
32	227	6675
33	238	6772
34	245	6780
35	252	6748
36	258	6731
37	263	6682
38	269	6640
39	274	6594
40	279	6544
41	285	6510
42	291	6486
43	297	6459
44	303	6432
45	309	6409
46	314	6385
47	321	6368
48	326	6336
49	332	6322
50	338	6291
51	343	6263
52	346	6189
53	351	6160
54	357	6141
55	363	6120
56	368	6096
57	374	6076
58	380	6068
59	386	6052
60	393	6049
61	396	5997
62	401	5970
63	405	5937
64	414	5961
65	420	5945
66	425	5931
67	431	5913
68	433	5853
69	440	5851
70	443	5799
71	445	5746
72	447	5687
73	450	5642
74	453	5595
75	459	5582
76	464	5566
77	469	5552
78	472	5510
79	474	5460
80	477	5413
81	483	5410
82	489	5403
83	491	5359
84	493	5315
85	497	5288
86	504	5290
87	507	5258
88	513	5257
89	518	5242
90	521	5205
91	524	5172
92	529	5168
93	535	5164
94	542	5164
95	544	5130
96	550	5128
97	554	5105
98	558	5082
99	560	5046
100	563	5017
101	570	5018
102	572	4990
103	576	4965
104	578	4934
105	585	4933
106	586	4898
107	589	4872
108	595	4870
109	599	4850
110	606	4856
111	609	4832
112	611	4801
113	617	4795
114	621	4786
115	623	4753
116	625	4721
117	628	4700
118	634	4696
119	640	4699
120	643	4672
121	644	4641
122	648	4622
123	650	4594
124	652	4564
125	654	4537
126	657	4517
127	659	4495
128	662	4475
129	664	4447
130	667	4428
131	669	4403
132	675	4401
133	681	4402
134	684	4388
135	686	4364
136	692	4364
137	699	4371
138	702	4349
139	705	4334
140	707	4309
141	713	4308
142	716	4295
143	718	4273
144	721	4254
145	727	4255
146	729	4230
147	735	4231
148	741	4234
149	743	4212
150	746	4197
151	748	4173
152	750	4154
153	752	4131
154	753	4110
155	756	4092
156	760	4085
157	762	4063
158	764	4042
159	765	4019
160	767	4000
161	773	4000
162	775	3981
163	782	3986
164	784	3967
165	785	3948
166	789	3935
167	791	3917
168	792	3897
169	794	3879
170	804	3900
171	811	3906
172	814	3894
173	816	3874
174	822	3877
175	824	3861
176	826	3844
177	829	3828
178	830	3808
179	836	3809
180	840	3805
181	842	3786
182	844	3772
183	847	3758
184	849	3742
185	851	3725
186	852	3707
187	854	3689
188	856	3673
189	857	3657
190	860	3642
191	866	3644
192	869	3634
193	871	3619
194	873	3606
195	879	3607
196	882	3598
197	886	3592
198	889	3581
199	896	3585
200	899	3574
201	900	3558
202	904	3552
203	907	3541
204	909	3527
205	915	3528
206	921	3530
207	923	3517
208	929	3518
209	934	3514
210	936	3500
211	937	3486
212	944	3490
213	947	3478
214	953	3481
215	955	3468
216	962	3471
217	964	3458
218	971	3466
219	975	3456
220	981	3458
221	987	3460
222	994	3464
223	996	3453
224	1001	3449
225	1003	3436
226	1006	3427
227	1015	3439
228	1021	3440
229	1025	3433
230	1027	3420
231	1030	3412
232	1036	3413
233	1040	3404
234	1043	3396
235	1049	3398
236	1052	3389
237	1055	3379
238	1059	3373
239	1065	3373
240	1070	3372
241	1077	3373
242	1078	3360
243	1083	3356
244	1085	3343
245	1089	3337
246	1091	3326
247	1092	3314
248	1097	3310
249	1099	3297
250	1101	3286
251	1104	3277
252	1106	3265
253	1111	3265
254	1118	3266
255	1119	3253
256	1125	3254
257	1130	3250
258	1132	3239
259	1134	3228
260	1138	3222
261	1145	3225
262	1148	3219
263	1151	3210
264	1153	3200
265	1159	3199
266	1162	3192
267	1165	3183
268	1171	3184
269	1178	3187
270	1180	3175
271	1187	3177
272	1192	3176
273	1194	3165
274	1196	3153
275	1207	3167
276	1211	3163
277	1216	3158
278	1218	3147
279	1220	3138
280	1223	3130
281	1230	3132
282	1232	3121
283	1234	3112
284	1240	3111
285	1247	3113
286	1252	3112
287	1255	3104
288	1259	3098
289	1261	3089
290	1263	3078
291	1269	3078
292	1271	3069
293	1274	3060
294	1277	3052
295	1279	3042
296	1285	3043
297	1291	3042
298	1294	3035
299	1297	3028
300	1300	3019
301	1304	3014
302	1306	3006
303	1308	2996
304	1310	2986
305	1314	2980
306	1316	2972
307	1318	2963
308	1321	2954
309	1327	2954
310	1332	2952
311	1338	2952
312	1341	2944
313	1343	2935
314	1346	2928
315	1349	2921
316	1351	2911
317	1353	2903
318	1360	2903
319	1363	2896
320	1365	2889
321	1369	2882
322	1375	2883
323	1377	2874
324	1380	2866
325	1383	2859
326	1386	2853
327	1389	2847
328	1396	2848
329	1399	2840
330	1403	2837
331	1409	2835
332	1411	2827
333	1417	2826
334	1419	2818
335	1425	2817
336	1428	2810
337	1431	2804
338	1434	2797
339	1437	2790
340	1439	2781
341	1441	2773
342	1447	2773
343	1452	2769
344	1458	2768
345	1464	2768
346	1466	2760
347	1468	2752
348	1475	2752
349	1477	2743
350	1480	2737
351	1484	2733
352	1487	2725
353	1492	2722
354	1497	2720
355	1499	2711
356	1504	2709
357	1506	2702
358	1513	2702
359	1519	2701
360	1522	2694
361	1527	2692
362	1530	2686
363	1537	2687
364	1539	2678
365	1542	2671
366	1544	2664
367	1546	2656
368	1548	2647
369	1555	2648
370	1561	2647
371	1568	2647
372	1575	2648
373	1582	2648
374	1589	2648
375	1593	2644
376	1600	2645
377	1608	2647
378	1611	2639
379	1618	2640
380	1622	2635
381	1626	2632
382	1628	2623
383	1633	2619
384	1638	2617
385	1646	2619
386	1649	2612
387	1655	2611
388	1661	2609
389	1664	2604
390	1667	2596
391	1668	2588
392	1675	2588
393	1678	2582
394	1685	2581
395	1691	2580
396	1693	2572
397	1700	2571
398	1709	2574
399	1712	2569
400	1718	2567
401	1721	2561
402	1723	2553
403	1730	2552
404	1736	2550
405	1742	2549
406	1744	2541
