iter	Passed	Remaining
0	6	6138
1	12	6162
2	18	6117
3	24	6017
4	33	6661
5	39	6581
6	45	6488
7	52	6467
8	59	6553
9	65	6503
10	71	6434
11	77	6401
12	83	6338
13	89	6302
14	93	6119
15	97	5974
16	103	5970
17	108	5937
18	114	5932
19	121	5946
20	127	5964
21	133	5951
22	137	5839
23	143	5821
24	148	5802
25	154	5796
26	160	5797
27	167	5801
28	173	5796
29	179	5797
30	187	5873
31	193	5859
32	195	5740
33	200	5697
34	204	5635
35	211	5650
36	217	5652
37	223	5662
38	227	5614
39	231	5566
40	237	5557
41	243	5543
42	248	5535
43	251	5474
44	257	5470
45	263	5471
46	266	5412
47	273	5429
48	279	5424
49	285	5427
50	289	5377
51	294	5371
52	297	5320
53	304	5331
54	309	5322
55	316	5327
56	322	5338
57	328	5342
58	333	5318
59	339	5320
60	345	5312
61	347	5257
62	353	5255
63	358	5244
64	365	5256
65	372	5266
66	379	5285
67	387	5312
68	393	5311
69	396	5271
70	402	5272
71	408	5264
72	419	5321
73	425	5319
74	430	5311
75	436	5308
76	439	5269
77	443	5241
78	446	5199
79	452	5203
80	455	5168
81	461	5165
82	465	5147
83	468	5113
84	474	5109
85	480	5104
86	486	5102
87	491	5096
88	495	5076
89	500	5057
90	506	5057
91	512	5055
92	516	5034
93	522	5035
94	528	5038
95	534	5034
96	541	5039
97	544	5008
98	547	4986
99	550	4958
100	554	4937
101	558	4915
102	564	4919
103	569	4907
104	576	4910
105	583	4922
106	590	4924
107	592	4892
108	599	4901
109	603	4881
110	605	4849
111	609	4830
112	612	4804
113	618	4805
114	624	4807
115	630	4803
116	636	4803
117	638	4769
118	644	4769
119	650	4770
120	653	4750
121	658	4739
122	664	4738
123	677	4786
124	680	4765
125	685	4752
126	687	4723
127	692	4720
128	698	4719
129	701	4693
130	703	4667
131	705	4639
132	712	4641
133	719	4649
134	721	4623
135	725	4610
136	730	4599
137	734	4585
138	739	4581
139	745	4580
140	747	4551
141	753	4550
142	756	4533
143	757	4505
144	759	4480
145	764	4474
146	771	4475
147	772	4448
148	775	4429
149	779	4419
150	781	4394
151	784	4375
152	791	4379
153	793	4357
154	795	4338
155	798	4319
156	808	4339
157	811	4323
158	817	4323
159	821	4315
160	828	4316
161	834	4314
162	835	4290
163	839	4281
164	842	4264
165	849	4265
166	852	4250
167	855	4236
168	859	4227
169	861	4207
170	867	4207
171	869	4186
172	872	4169
173	875	4154
174	876	4133
175	879	4117
176	880	4095
177	882	4074
178	885	4060
179	886	4039
180	893	4042
181	895	4024
182	901	4023
183	904	4013
184	911	4013
185	912	3994
186	914	3974
187	916	3958
188	922	3958
189	928	3957
190	929	3938
191	931	3919
192	932	3900
193	938	3900
194	941	3887
195	943	3871
196	950	3873
197	954	3864
198	960	3865
199	964	3857
200	967	3845
201	968	3827
202	970	3809
203	972	3793
204	974	3779
205	981	3783
206	984	3769
207	988	3762
208	990	3747
209	992	3733
210	999	3736
211	1001	3721
212	1003	3707
213	1005	3693
214	1007	3678
215	1010	3666
216	1012	3653
217	1018	3653
218	1024	3652
219	1026	3637
220	1028	3626
221	1035	3630
222	1042	3632
223	1044	3619
224	1051	3621
225	1052	3606
226	1056	3596
227	1060	3591
228	1063	3579
229	1064	3564
230	1070	3562
231	1072	3551
232	1075	3539
233	1078	3530
234	1080	3516
235	1083	3507
236	1085	3495
237	1091	3494
238	1093	3480
239	1095	3467
240	1098	3460
241	1101	3448
242	1102	3435
243	1105	3426
244	1107	3413
245	1113	3412
246	1116	3404
247	1119	3393
248	1121	3381
249	1122	3368
250	1124	3356
251	1129	3351
252	1130	3338
253	1136	3338
254	1139	3330
255	1143	3322
256	1149	3323
257	1155	3323
258	1162	3326
259	1164	3313
260	1166	3303
261	1175	3310
262	1180	3309
263	1185	3304
264	1191	3304
265	1197	3304
266	1203	3304
267	1207	3297
268	1210	3289
269	1215	3287
270	1218	3277
271	1219	3264
272	1221	3252
273	1223	3242
274	1224	3229
275	1232	3233
276	1239	3235
277	1241	3223
278	1242	3211
279	1244	3199
280	1246	3189
281	1252	3188
282	1258	3189
283	1260	3177
284	1263	3169
285	1265	3159
286	1267	3148
287	1273	3149
288	1276	3140
289	1278	3130
290	1285	3130
291	1289	3126
292	1292	3118
293	1295	3111
294	1298	3102
295	1299	3090
296	1302	3082
297	1308	3082
298	1310	3072
299	1313	3065
300	1315	3055
301	1318	3046
302	1324	3045
303	1326	3036
304	1328	3026
305	1334	3026
306	1338	3021
307	1340	3012
308	1343	3004
309	1346	2997
310	1349	2989
311	1352	2981
312	1358	2981
313	1362	2977
314	1369	2978
315	1385	2998
316	1387	2990
317	1391	2983
318	1398	2984
319	1405	2985
320	1412	2986
321	1419	2988
322	1422	2981
323	1428	2981
324	1431	2973
325	1435	2968
326	1439	2963
327	1446	2963
328	1452	2961
329	1458	2960
330	1460	2951
331	1462	2942
332	1466	2937
333	1469	2929
334	1471	2921
335	1475	2915
336	1477	2907
337	1483	2905
338	1487	2900
339	1491	2895
340	1496	2891
341	1497	2881
342	1500	2873
343	1506	2872
344	1509	2864
345	1511	2857
346	1513	2849
347	1515	2840
348	1517	2830
349	1519	2821
350	1521	2812
351	1527	2812
352	1529	2803
353	1535	2802
354	1537	2794
355	1543	2792
356	1549	2791
357	1553	2785
358	1555	2777
359	1557	2768
360	1560	2761
361	1565	2759
362	1569	2753
363	1573	2749
364	1576	2741
365	1578	2734
366	1580	2726
367	1583	2720
368	1589	2718
369	1592	2711
370	1598	2709
371	1601	2702
372	1607	2702
373	1613	2700
374	1617	2695
375	1619	2687
376	1621	2679
377	1623	2671
378	1626	2665
379	1629	2659
380	1633	2653
381	1634	2644
382	1637	2637
383	1641	2632
384	1643	2625
385	1645	2616
386	1646	2608
387	1648	2599
388	1664	2614
389	1670	2613
390	1674	2608
391	1676	2600
392	1680	2596
393	1689	2599
394	1692	2592
395	1695	2586
396	1703	2587
397	1712	2590
398	1720	2591
399	1724	2586
400	1730	2584
401	1734	2580
402	1741	2579
403	1748	2579
404	1752	2574
405	1758	2572
406	1764	2570
407	1771	2570
408	1777	2567
409	1779	2560
410	1781	2553
411	1783	2544
412	1785	2537
413	1791	2535
414	1793	2527
415	1795	2521
416	1798	2514
417	1800	2506
418	1806	2504
419	1814	2505
420	1820	2503
421	1826	2502
422	1833	2500
423	1834	2492
424	1840	2490
425	1843	2483
426	1850	2482
427	1853	2476
428	1856	2470
429	1860	2466
430	1866	2464
431	1870	2459
432	1876	2457
433	1883	2456
434	1889	2453
435	1891	2447
436	1897	2444
437	1900	2438
438	1902	2431
439	1905	2425
440	1912	2423
441	1918	2422
442	1924	2420
443	1931	2418
444	1938	2417
445	1941	2411
446	1948	2410
447	1954	2408
448	1957	2401
449	1964	2400
450	1968	2396
451	1974	2394
452	1980	2391
453	1987	2389
454	1993	2387
455	2000	2386
456	2006	2384
457	2013	2382
458	2019	2379
459	2025	2377
460	2028	2372
461	2035	2370
462	2041	2367
463	2044	2362
464	2049	2357
465	2055	2355
466	2061	2353
467	2065	2347
468	2067	2341
469	2075	2340
470	2078	2334
471	2081	2328
472	2087	2325
473	2093	2323
474	2096	2317
475	2103	2316
476	2112	2315
477	2118	2313
478	2125	2311
479	2127	2305
480	2133	2302
481	2140	2300
482	2147	2298
483	2154	2296
484	2156	2290
485	2163	2288
486	2171	2287
487	2174	2281
488	2179	2277
489	2185	2274
490	2188	2268
491	2194	2266
492	2201	2263
493	2208	2262
494	2214	2258
495	2219	2255
496	2222	2249
497	2226	2244
498	2232	2241
499	2239	2239
500	2242	2233
501	2247	2229
502	2250	2223
503	2264	2228
504	2273	2228
505	2280	2226
506	2282	2219
507	2288	2216
508	2291	2210
509	2295	2205
510	2297	2198
511	2302	2195
512	2309	2192
513	2315	2189
514	2319	2184
515	2325	2181
516	2329	2176
517	2336	2174
518	2343	2171
519	2350	2169
520	2356	2166
521	2363	2163
522	2371	2162
523	2377	2159
524	2383	2156
525	2389	2152
526	2395	2150
527	2402	2147
528	2407	2143
529	2414	2141
530	2420	2137
531	2423	2131
532	2429	2128
533	2432	2122
534	2438	2119
535	2441	2113
536	2444	2107
537	2449	2103
538	2458	2102
539	2463	2098
540	2469	2095
541	2472	2089
542	2475	2083
543	2478	2077
544	2484	2074
545	2490	2070
546	2493	2064
547	2500	2062
548	2503	2056
549	2509	2052
550	2515	2050
551	2522	2046
552	2526	2041
553	2528	2035
554	2534	2032
555	2538	2026
556	2544	2023
557	2551	2021
558	2557	2017
559	2564	2015
560	2572	2012
561	2578	2009
562	2585	2006
563	2591	2003
564	2595	1998
565	2602	1995
566	2605	1989
567	2612	1986
568	2618	1983
569	2624	1980
570	2628	1974
571	2633	1970
572	2636	1964
573	2652	1968
574	2655	1962
575	2659	1957
576	2666	1954
577	2672	1951
578	2675	1945
579	2681	1941
580	2687	1938
581	2697	1937
582	2703	1933
583	2707	1928
584	2710	1922
585	2717	1919
586	2723	1916
587	2730	1913
588	2733	1907
589	2740	1904
590	2747	1901
591	2751	1895
592	2756	1892
593	2759	1886
