iter	Passed	Remaining
0	6	6554
1	14	7187
2	21	7220
3	25	6393
4	31	6295
5	36	5983
6	42	6066
7	48	6041
8	52	5807
9	58	5818
10	64	5826
11	71	5845
12	76	5806
13	82	5797
14	88	5819
15	94	5796
16	99	5768
17	103	5653
18	105	5472
19	111	5462
20	117	5498
21	123	5481
22	128	5476
23	135	5491
24	140	5492
25	145	5467
26	151	5470
27	156	5448
28	162	5456
29	168	5448
30	172	5377
31	177	5382
32	183	5385
33	189	5379
34	194	5366
35	196	5265
36	201	5250
37	204	5171
38	209	5165
39	215	5162
40	219	5144
41	221	5061
42	226	5051
43	229	4980
44	235	4990
45	237	4933
46	242	4925
47	248	4921
48	253	4910
49	255	4859
50	261	4860
51	266	4857
52	270	4840
53	273	4794
54	279	4796
55	284	4793
56	289	4789
57	294	4783
58	299	4773
59	302	4741
60	307	4735
61	312	4731
62	315	4693
63	318	4656
64	324	4664
65	327	4630
66	331	4615
67	334	4584
68	339	4586
69	345	4588
70	350	4585
71	355	4581
72	358	4549
73	363	4546
74	368	4543
75	373	4539
76	375	4500
77	380	4501
78	386	4500
79	389	4477
80	394	4474
81	399	4472
82	404	4472
83	407	4442
84	412	4443
85	418	4449
86	423	4447
87	429	4446
88	434	4450
89	440	4454
90	443	4431
91	449	4439
92	452	4415
93	456	4401
94	462	4402
95	467	4405
96	473	4406
97	478	4403
98	480	4374
99	484	4356
100	489	4353
101	494	4352
102	500	4356
103	502	4325
104	507	4329
105	513	4330
106	515	4302
107	521	4303
108	524	4290
109	527	4269
110	533	4270
111	535	4242
112	540	4244
113	546	4244
114	549	4232
115	555	4233
116	558	4216
117	562	4203
118	568	4205
119	572	4196
120	574	4174
121	576	4150
122	578	4125
123	583	4125
124	586	4102
125	588	4080
126	593	4077
127	598	4077
128	600	4055
129	604	4045
130	606	4023
131	611	4021
132	616	4021
133	618	3997
134	620	3974
135	627	3987
136	631	3974
137	636	3977
138	639	3964
139	642	3947
140	645	3930
141	647	3914
142	651	3903
143	657	3907
144	659	3887
145	661	3869
146	663	3852
147	669	3852
148	674	3854
149	678	3845
150	681	3831
151	684	3816
152	686	3799
153	688	3780
154	689	3761
155	693	3749
156	695	3734
157	697	3719
158	700	3706
159	702	3688
160	705	3676
161	710	3677
162	715	3672
163	720	3673
164	722	3658
165	728	3661
166	734	3664
167	736	3647
168	739	3634
169	741	3619
170	743	3606
171	747	3600
172	753	3603
173	755	3587
174	761	3589
175	763	3576
176	767	3568
177	772	3569
178	775	3556
179	781	3560
180	784	3547
181	787	3537
182	790	3529
183	793	3521
184	796	3506
185	797	3490
186	803	3491
187	804	3476
188	806	3460
189	811	3459
190	815	3453
191	817	3438
192	818	3423
193	820	3408
194	825	3408
195	829	3402
196	831	3390
197	837	3391
198	843	3393
199	844	3379
200	850	3380
201	853	3371
202	858	3371
203	860	3357
204	863	3348
205	868	3348
206	870	3335
207	874	3328
208	879	3327
209	880	3313
210	882	3301
211	885	3292
212	891	3293
213	897	3296
214	900	3288
215	902	3276
216	908	3279
217	911	3268
218	916	3266
219	919	3258
220	924	3260
221	926	3247
222	929	3237
223	932	3229
224	935	3221
225	937	3211
226	944	3215
227	947	3208
228	951	3202
229	955	3198
230	961	3200
231	964	3192
232	966	3180
233	971	3181
234	974	3171
235	977	3163
236	980	3156
237	983	3148
238	985	3137
239	988	3131
240	994	3132
241	997	3124
242	1003	3126
243	1006	3119
244	1012	3121
245	1015	3111
246	1016	3100
247	1022	3100
248	1027	3100
249	1031	3093
250	1036	3092
251	1040	3087
252	1041	3076
253	1044	3066
254	1045	3055
255	1049	3049
256	1050	3038
257	1052	3027
258	1055	3019
259	1061	3019
260	1064	3012
261	1065	3002
262	1068	2993
263	1070	2984
264	1075	2983
265	1079	2979
266	1082	2971
267	1084	2961
268	1089	2961
269	1091	2951
270	1097	2951
271	1102	2951
272	1108	2951
273	1110	2941
274	1115	2941
275	1117	2931
276	1122	2930
277	1125	2923
278	1128	2915
279	1133	2914
280	1136	2907
281	1141	2907
282	1147	2906
283	1152	2905
284	1157	2904
285	1159	2894
286	1164	2893
287	1167	2885
288	1172	2885
289	1175	2877
290	1181	2878
291	1187	2878
292	1192	2878
293	1195	2870
294	1200	2869
295	1204	2863
296	1207	2858
297	1209	2849
298	1214	2848
299	1216	2839
300	1218	2830
301	1224	2830
302	1230	2829
303	1236	2830
304	1239	2825
305	1242	2818
306	1245	2811
307	1247	2801
308	1250	2797
309	1252	2788
310	1254	2779
311	1260	2778
312	1262	2770
313	1267	2768
314	1269	2761
315	1272	2753
316	1277	2752
317	1281	2749
318	1284	2742
319	1289	2740
320	1293	2736
321	1299	2736
322	1302	2729
323	1307	2728
324	1315	2731
325	1318	2724
326	1322	2721
327	1328	2721
328	1331	2715
329	1334	2708
330	1337	2702
331	1339	2694
332	1341	2687
333	1347	2686
334	1350	2681
335	1353	2674
336	1355	2665
337	1357	2658
338	1359	2650
339	1361	2643
340	1367	2642
341	1369	2635
342	1373	2631
343	1379	2630
344	1384	2629
345	1388	2624
346	1390	2616
347	1395	2615
348	1398	2607
349	1400	2601
350	1403	2594
351	1406	2590
352	1408	2581
353	1410	2574
354	1414	2570
355	1420	2570
356	1426	2569
357	1428	2561
358	1434	2561
359	1438	2556
360	1440	2550
361	1442	2542
362	1445	2536
363	1451	2536
364	1454	2531
365	1457	2524
366	1461	2520
367	1465	2517
368	1469	2512
369	1471	2505
370	1475	2501
371	1477	2494
372	1480	2488
373	1482	2480
374	1487	2478
375	1493	2478
376	1498	2477
377	1501	2470
378	1504	2465
379	1507	2459
380	1510	2453
381	1515	2451
382	1517	2444
383	1518	2436
384	1520	2429
385	1526	2427
386	1528	2420
387	1533	2419
388	1539	2417
389	1545	2417
390	1547	2410
391	1549	2402
392	1554	2400
393	1558	2397
394	1563	2395
395	1569	2393
396	1574	2391
397	1580	2390
398	1584	2386
399	1586	2379
400	1588	2372
401	1590	2366
402	1596	2365
403	1602	2363
404	1607	2361
405	1609	2355
406	1615	2353
407	1620	2351
408	1626	2349
409	1631	2348
410	1636	2345
411	1641	2342
412	1643	2336
413	1649	2335
414	1655	2333
415	1660	2331
416	1666	2329
417	1672	2328
418	1678	2327
419	1681	2322
420	1686	2319
421	1692	2318
422	1697	2315
423	1704	2315
424	1709	2312
425	1711	2306
426	1717	2305
427	1719	2298
428	1725	2296
429	1731	2294
430	1736	2292
431	1741	2290
432	1743	2283
433	1749	2281
434	1754	2279
435	1760	2276
436	1765	2274
437	1771	2272
438	1776	2270
439	1782	2268
440	1785	2262
441	1790	2260
442	1796	2258
443	1801	2255
444	1806	2253
445	1809	2247
446	1815	2245
447	1820	2243
448	1826	2241
449	1831	2238
450	1837	2236
451	1842	2233
452	1846	2229
453	1851	2226
454	1855	2222
455	1860	2219
456	1865	2216
457	1868	2210
458	1871	2205
459	1876	2203
460	1882	2200
461	1886	2196
462	1891	2193
463	1896	2190
464	1902	2188
465	1907	2186
466	1912	2183
467	1918	2180
468	1924	2179
469	1927	2173
470	1932	2170
471	1937	2167
472	1943	2165
473	1949	2163
474	1954	2160
475	1960	2157
476	1965	2155
477	1971	2152
478	1977	2150
479	1982	2148
480	1988	2145
481	1991	2139
482	1996	2136
483	2001	2133
484	2007	2131
485	2012	2128
486	2018	2126
487	2024	2124
488	2027	2118
489	2029	2112
490	2034	2109
491	2038	2104
492	2043	2101
493	2049	2099
494	2054	2096
495	2060	2094
496	2066	2091
497	2071	2088
498	2076	2085
499	2082	2082
500	2086	2077
501	2091	2074
502	2094	2069
503	2099	2066
504	2105	2063
505	2110	2060
506	2116	2058
507	2119	2052
508	2124	2049
509	2129	2046
510	2134	2043
511	2140	2040
512	2146	2037
513	2151	2034
514	2157	2031
515	2163	2029
516	2169	2026
517	2174	2023
518	2179	2020
519	2185	2016
520	2190	2014
521	2192	2007
522	2197	2004
523	2203	2001
524	2208	1998
525	2214	1995
526	2217	1990
527	2222	1986
528	2228	1983
529	2233	1980
530	2239	1977
531	2244	1974
532	2249	1971
533	2255	1967
534	2261	1965
535	2266	1962
536	2272	1959
537	2277	1955
538	2282	1952
539	2288	1949
540	2293	1946
541	2301	1944
542	2306	1941
543	2312	1938
544	2317	1934
545	2322	1931
546	2327	1927
547	2333	1924
548	2339	1921
549	2341	1915
550	2344	1910
551	2349	1906
552	2354	1903
553	2361	1901
554	2367	1897
555	2372	1894
556	2377	1891
557	2383	1888
558	2388	1884
559	2394	1881
560	2399	1877
561	2405	1874
562	2410	1871
563	2416	1868
564	2421	1864
565	2427	1861
566	2433	1858
567	2438	1854
568	2444	1851
569	2449	1848
570	2455	1844
571	2461	1841
572	2467	1838
573	2472	1834
574	2477	1831
575	2483	1828
576	2488	1824
577	2494	1821
578	2500	1817
579	2506	1814
580	2511	1811
581	2517	1807
582	2522	1804
583	2528	1800
584	2533	1797
585	2538	1793
586	2544	1790
587	2549	1786
588	2555	1783
589	2561	1780
590	2567	1776
591	2572	1773
592	2579	1770
593	2584	1766
594	2590	1762
595	2595	1759
596	2600	1755
597	2606	1752
598	2612	1748
599	2617	1744
600	2622	1741
601	2628	1737
602	2630	1731
603	2635	1727
604	2640	1724
605	2645	1720
606	2651	1716
607	2657	1713
608	2662	1709
609	2667	1705
610	2672	1701
611	2678	1697
612	2683	1694
613	2686	1688
614	2691	1685
615	2697	1681
616	2702	1677
617	2709	1674
618	2714	1671
619	2720	1667
620	2726	1663
621	2732	1660
622	2737	1656
623	2743	1653
624	2745	1647
625	2751	1643
626	2756	1640
627	2762	1636
628	2768	1632
629	2774	1629
630	2780	1625
631	2785	1622
632	2791	1618
633	2798	1615
634	2804	1611
635	2809	1607
636	2814	1604
637	2820	1600
638	2826	1596
639	2832	1593
640	2837	1589
641	2843	1585
642	2848	1581
643	2853	1577
644	2858	1573
645	2864	1569
646	2869	1565
647	2876	1562
648	2881	1558
649	2887	1554
650	2893	1551
651	2898	1547
652	2904	1543
653	2909	1539
654	2915	1535
655	2920	1531
656	2925	1527
657	2931	1523
658	2936	1519
659	2942	1515
660	2947	1511
661	2952	1507
662	2957	1503
